date,close
1983-03-22,8.5
1983-03-24,8.78
1983-03-30,8.75
1983-04-05,8.16
1983-04-12,8.44
1983-04-13,8.97
1983-04-20,9.62
1983-04-25,8.88
1983-04-29,9.5
1983-05-03,9.85
1983-05-09,11.31
1983-05-12,10.97
1983-05-19,11.19
1983-05-20,11.75
1983-05-27,12.41
1983-06-02,13.1
1983-06-08,13.19
1983-06-10,13.06
1983-06-16,13.66
1983-06-21,13.5
1983-06-28,15.25
1983-06-29,15.85
1983-07-07,16.06
1983-07-12,15.91
1983-07-18,14.03
1983-07-20,15.75
1983-07-26,16.56
1983-07-29,14.88
1983-08-05,14.19
1983-08-08,14.0
1983-08-15,14.28
1983-08-18,13.31
1983-08-24,13.5
1983-08-26,14.62
1983-09-01,15.44
1983-09-07,16.0
1983-09-14,14.38
1983-09-15,14.88
1983-09-22,16.12
1983-09-27,15.06
1983-10-03,15.0
1983-10-05,15.56
1983-10-11,15.81
1983-10-14,16.0
1983-10-21,14.75
1983-10-24,15.62
1983-10-31,15.0
1983-11-03,14.69
1983-11-09,14.75
1983-11-11,16.12
1983-11-17,16.38
1983-11-22,16.5
1983-11-30,17.0
1983-12-01,16.82
1983-12-08,16.57
1983-12-13,16.5
1983-12-19,16.07
1983-12-21,15.94
1983-12-28,16.38
1984-01-03,16.88
1984-01-10,17.94
1984-01-11,17.82
1984-01-18,17.88
1984-01-23,17.19
1984-01-27,15.06
1984-01-31,14.38
1984-02-06,13.38
1984-02-09,13.5
1984-02-16,13.81
1984-02-17,13.5
1984-02-27,14.88
1984-03-01,14.56
1984-03-07,13.56
1984-03-09,13.75
1984-03-15,14.94
1984-03-20,14.88
1984-03-27,14.12
1984-03-28,14.81
1984-04-04,13.81
1984-04-09,14.25
1984-04-13,15.25
1984-04-17,16.19
1984-04-24,15.88
1984-04-27,17.12
1984-05-04,16.12
1984-05-07,16.07
1984-05-14,16.62
1984-05-17,15.75
1984-05-23,15.44
1984-05-25,15.44
1984-06-01,16.19
1984-06-06,16.5
1984-06-13,15.38
1984-06-14,14.25
1984-06-21,15.94
1984-06-26,15.06
1984-07-02,15.19
1984-07-05,15.12
1984-07-11,15.12
1984-07-16,14.94
1984-07-23,13.12
1984-07-24,12.81
1984-07-31,14.5
1984-08-03,17.57
1984-08-09,18.88
1984-08-13,19.0
1984-08-17,19.38
1984-08-22,19.75
1984-08-29,20.32
1984-08-30,19.94
1984-09-07,19.07
1984-09-12,18.75
1984-09-18,19.62
1984-09-20,18.75
1984-09-26,17.88
1984-10-01,16.82
1984-10-08,16.25
1984-10-09,16.5
1984-10-16,17.5
1984-10-19,18.07
1984-10-25,16.57
1984-10-29,15.62
1984-11-02,14.81
1984-11-07,15.5
1984-11-14,15.0
1984-11-15,14.88
1984-11-23,14.06
1984-11-28,13.5
1984-12-04,14.25
1984-12-06,14.5
1984-12-12,13.44
1984-12-17,13.06
1984-12-24,14.88
1984-12-26,14.94
1985-01-03,14.44
1985-01-08,13.44
1985-01-14,16.12
1985-01-16,16.38
1985-01-22,16.94
1985-01-25,17.38
1985-02-01,17.32
1985-02-04,17.69
1985-02-11,17.44
1985-02-14,17.19
1985-02-21,16.82
1985-02-25,16.0
1985-03-01,16.69
1985-03-06,15.81
1985-03-13,15.5
1985-03-14,15.25
1985-03-21,15.94
1985-03-26,15.81
1985-04-01,16.88
1985-04-03,15.94
1985-04-10,15.56
1985-04-15,15.38
1985-04-22,14.31
1985-04-23,14.62
1985-04-30,13.94
1985-05-03,14.0
1985-05-09,14.69
1985-05-13,14.25
1985-05-17,14.62
1985-05-22,14.38
1985-05-30,13.31
1985-05-31,13.25
1985-06-07,13.12
1985-06-12,13.0
1985-06-18,11.31
1985-06-20,11.88
1985-06-26,12.88
1985-07-01,13.56
1985-07-09,12.44
1985-07-10,13.25
1985-07-17,14.5
1985-07-22,14.31
1985-07-26,14.94
1985-07-30,14.56
1985-08-05,14.88
1985-08-08,14.88
1985-08-15,14.0
1985-08-16,14.19
1985-08-23,13.81
1985-08-28,13.94
1985-09-04,13.06
1985-09-06,13.5
1985-09-12,12.88
1985-09-17,13.0
1985-09-24,13.12
1985-09-25,13.12
1985-10-03,12.31
1985-10-08,11.62
1985-10-14,12.69
1985-10-16,12.62
1985-10-22,12.31
1985-10-25,12.06
1985-11-01,12.06
1985-11-04,11.5
1985-11-11,12.38
1985-11-14,12.94
1985-11-20,13.31
1985-11-22,13.5
1985-11-29,13.94
1985-12-04,14.75
1985-12-11,15.38
1985-12-12,14.94
1985-12-19,14.56
1985-12-24,14.25
1985-12-31,14.5
1986-01-03,14.38
1986-01-09,13.75
1986-01-14,13.81
1986-01-21,14.5
1986-01-22,14.0
1986-01-29,14.12
1986-02-03,13.56
1986-02-07,14.88
1986-02-11,15.69
1986-02-18,15.94
1986-02-21,16.25
1986-02-28,15.56
1986-03-03,15.12
1986-03-10,15.06
1986-03-13,15.88
1986-03-19,15.31
1986-03-21,14.88
1986-03-27,14.62
1986-04-02,13.88
1986-04-09,14.38
1986-04-10,15.0
1986-04-17,15.0
1986-04-22,14.88
1986-04-28,15.12
1986-04-30,14.19
1986-05-06,14.31
1986-05-09,14.12
1986-05-16,13.06
1986-05-19,13.25
1986-05-27,12.38
1986-05-30,13.31
1986-06-05,12.5
1986-06-09,11.94
1986-06-13,11.69
1986-06-18,10.75
1986-06-25,10.75
1986-06-26,10.5
1986-07-03,9.75
1986-07-09,9.38
1986-07-15,7.57
1986-07-17,7.38
1986-07-23,7.32
1986-07-28,7.38
1986-08-04,7.57
1986-08-05,7.32
1986-08-12,8.38
1986-08-15,8.31
1986-08-21,8.5
1986-08-25,9.5
1986-08-29,9.69
1986-09-04,9.62
1986-09-11,9.0
1986-09-12,8.75
1986-09-19,8.56
1986-09-24,8.81
1986-09-30,7.88
1986-10-02,7.38
1986-10-08,6.88
1986-10-13,7.25
1986-10-20,6.75
1986-10-21,6.69
1986-10-28,6.94
1986-10-31,6.88
1986-11-06,8.0
1986-11-10,8.12
1986-11-14,7.82
1986-11-19,7.62
1986-11-26,7.88
1986-11-28,7.82
1986-12-05,7.82
1986-12-10,7.5
1986-12-16,7.25
1986-12-18,7.19
1986-12-24,6.94
1986-12-30,6.82
1987-01-07,7.25
1987-01-08,7.62
1987-01-15,9.12
1987-01-20,9.06
1987-01-26,8.75
1987-01-28,8.75
1987-02-03,10.56
1987-02-06,11.19
1987-02-13,11.0
1987-02-17,11.69
1987-02-24,11.0
1987-02-27,10.88
1987-03-05,10.56
1987-03-09,10.62
1987-03-13,10.25
1987-03-18,10.44
1987-03-25,9.88
1987-03-26,9.81
1987-04-02,9.88
1987-04-07,10.12
1987-04-13,10.06
1987-04-15,10.19
1987-04-22,10.31
1987-04-27,11.12
1987-05-04,11.25
1987-05-05,11.5
1987-05-12,11.12
1987-05-15,10.69
1987-05-21,10.19
1987-05-26,10.5
1987-06-01,11.06
1987-06-04,10.5
1987-06-11,10.5
1987-06-12,10.38
1987-06-19,9.94
1987-06-24,9.81
1987-06-30,9.5
1987-07-02,9.56
1987-07-09,9.06
1987-07-14,9.19
1987-07-21,8.62
1987-07-22,8.44
1987-07-29,8.94
1987-08-03,9.0
1987-08-07,10.12
1987-08-11,10.12
1987-08-17,10.12
1987-08-20,10.38
1987-08-27,11.5
1987-08-28,11.0
1987-09-04,10.12
1987-09-10,10.56
1987-09-16,10.44
1987-09-18,10.12
1987-09-24,11.38
1987-09-29,11.19
1987-10-06,11.5
1987-10-07,11.5
1987-10-14,10.0
1987-10-19,5.75
1987-10-23,5.69
1987-10-27,5.32
1987-11-02,5.25
1987-11-05,5.57
1987-11-12,5.38
1987-11-13,5.38
1987-11-20,4.94
1987-11-25,4.94
1987-12-02,4.32
1987-12-04,4.07
1987-12-10,4.62
1987-12-15,4.94
1987-12-22,5.12
1987-12-23,5.19
1987-12-31,4.94
1988-01-06,5.38
1988-01-12,4.75
1988-01-14,4.88
1988-01-20,4.44
1988-01-25,4.69
1988-02-01,4.82
1988-02-02,4.88
1988-02-09,4.88
1988-02-12,5.07
1988-02-19,5.32
1988-02-23,5.88
1988-02-29,6.0
1988-03-03,6.19
1988-03-10,6.32
1988-03-11,6.25
1988-03-18,6.25
1988-03-23,6.12
1988-03-29,5.69
1988-03-31,5.5
1988-04-07,6.25
1988-04-12,6.82
1988-04-19,6.32
1988-04-20,6.25
1988-04-27,7.12
1988-05-02,7.19
1988-05-06,7.12
1988-05-10,6.94
1988-05-16,7.5
1988-05-19,7.44
1988-05-26,7.12
1988-05-27,7.12
1988-06-06,8.12
1988-06-09,8.0
1988-06-15,8.0
1988-06-17,7.88
1988-06-23,8.06
1988-06-28,8.38
1988-07-06,8.0
1988-07-07,8.12
1988-07-14,7.38
1988-07-19,6.82
1988-07-25,6.88
1988-07-27,6.44
1988-08-02,6.69
1988-08-05,6.44
1988-08-12,6.12
1988-08-15,5.88
1988-08-22,5.82
1988-08-25,5.88
1988-08-31,5.69
1988-09-02,5.69
1988-09-09,5.82
1988-09-14,5.75
1988-09-21,5.5
1988-09-22,5.69
1988-09-29,5.38
1988-10-04,4.5
1988-10-10,4.32
1988-10-12,4.94
1988-10-18,4.75
1988-10-21,4.69
1988-10-28,4.32
1988-10-31,4.5
1988-11-07,4.25
1988-11-10,4.12
1988-11-16,3.69
1988-11-18,3.88
1988-11-25,3.75
1988-11-30,3.75
1988-12-07,3.75
1988-12-08,3.75
1988-12-15,4.12
1988-12-20,4.25
1988-12-27,4.32
1988-12-29,4.38
1989-01-05,4.57
1989-01-10,4.57
1989-01-17,4.25
1989-01-18,4.32
1989-01-25,4.38
1989-01-30,4.5
1989-02-03,4.75
