date,close
2015-08-10,1.18
2015-08-14,1.79
2015-08-18,1.36
2015-08-22,1.4
2015-08-26,1.18
2015-08-30,1.32
2015-09-03,1.23
2015-09-07,1.28
2015-09-11,0.9242
2015-09-15,0.95
2015-09-19,0.89
2015-09-23,0.91
2015-09-27,0.7008
2015-10-01,0.6548
2015-10-05,0.6078
2015-10-09,0.6352
2015-10-13,0.6017
2015-10-17,0.523
2015-10-21,0.42
2015-10-25,0.62
2015-10-29,1.12
2015-11-02,0.9878
2015-11-06,0.9899
2015-11-10,0.9
2015-11-14,0.88
2015-11-18,0.9973
2015-11-22,0.97
2015-11-26,0.86
2015-11-30,0.88
2015-12-04,0.84
2015-12-08,0.8102
2015-12-12,0.96
2015-12-16,0.803
2015-12-20,1.07
2015-12-24,0.87
2015-12-28,0.8749
2016-01-01,0.92
2016-01-05,0.9426
2016-01-09,0.985
2016-01-13,1.14
2016-01-17,1.31
2016-01-21,1.54
2016-01-25,2.5
2016-01-29,2.41
2016-02-02,2.45
2016-02-06,2.53
2016-02-10,4.35
2016-02-14,5.2
2016-02-18,4.36
2016-02-22,5.6
2016-02-26,6.03
2016-03-01,7.59
2016-03-05,11
2016-03-09,11.55
2016-03-13,15
2016-03-17,11.14
2016-03-21,11.97
2016-03-25,10.69
2016-03-29,11.73
2016-04-02,11.61
2016-04-06,10.79
2016-04-10,8.8
2016-04-14,8.48
2016-04-18,8.92
2016-04-22,7.83
2016-04-26,7.5
2016-04-30,8.83
2016-05-04,9.43
2016-05-08,9.44
2016-05-12,10.1
2016-05-16,11.04
2016-05-20,13.73
2016-05-24,12.62
2016-05-28,11.56
2016-06-01,13.83
2016-06-05,13.85
2016-06-09,14.49
2016-06-13,17.55
2016-06-17,15.49
2016-06-21,12.71
2016-06-25,14.28
2016-06-29,12.76
2016-07-03,11.85
2016-07-07,10.07
2016-07-11,10.58
2016-07-15,11.88
2016-07-19,11.63
2016-07-23,14.4
2016-07-27,13.05
2016-07-31,11.86
2016-08-04,11.21
2016-08-08,11.29
2016-08-12,11.78
2016-08-16,11.17
2016-08-20,11.28
2016-08-24,11.01
2016-08-28,10.99
2016-09-01,12.21
2016-09-05,11.75
2016-09-09,11.72
2016-09-13,11.92
2016-09-17,12.83
2016-09-21,13.72
2016-09-25,13.05
2016-09-29,13.17
2016-10-03,13.45
2016-10-07,12.68
2016-10-11,11.75
2016-10-15,11.96
2016-10-19,11.98
2016-10-23,11.95
2016-10-27,11.43
2016-10-31,10.91
2016-11-04,11.13
2016-11-08,10.86
2016-11-12,9.96
2016-11-16,10.01
2016-11-20,9.57
2016-11-24,9.22
2016-11-28,8.66
2016-12-02,7.65
2016-12-06,7.61
2016-12-10,8.09
2016-12-14,8.23
2016-12-18,7.89
2016-12-22,7.64
2016-12-26,7.21
2016-12-30,8.16
2017-01-03,9.59
2017-01-07,9.78
2017-01-11,9.83
2017-01-15,9.88
2017-01-19,10.43
2017-01-23,10.78
2017-01-27,10.51
2017-01-31,10.71
2017-02-04,11.32
2017-02-08,11.39
2017-02-12,11.42
2017-02-16,12.95
2017-02-20,12.52
2017-02-24,13.11
2017-02-28,16.07
2017-03-04,18.61
2017-03-08,16.54
2017-03-12,23.31
2017-03-16,45.51
2017-03-20,42.51
2017-03-24,53.19
2017-03-28,50.25
2017-04-01,50.6
2017-04-05,44.9
2017-04-09,43.72
2017-04-13,49.97
2017-04-17,47.94
2017-04-21,48.27
2017-04-25,50.09
2017-04-29,69.83
2017-05-03,80.37
2017-05-07,90.46
2017-05-11,88.2
2017-05-15,90.32
2017-05-19,124.38
2017-05-23,169.5
2017-05-27,156.63
2017-05-31,228.64
2017-06-04,244.96
2017-06-08,259.41
2017-06-12,394.66
2017-06-16,353.61
2017-06-20,350.53
2017-06-24,304.54
2017-06-28,315.86
2017-07-02,283.99
2017-07-06,265.88
2017-07-10,205.76
2017-07-14,197.14
2017-07-18,227.09
2017-07-22,230.47
2017-07-26,202.88
2017-07-30,196.78
