Date,Close/Last,Volume,Open,High,Low
03/03/2023,51.51,681481,50.19,51.76,50.01
03/02/2023,50.08,347943,48.46,50.1599,48.11
03/01/2023,49.48,261915,50.56,50.81,49.38
02/28/2023,50.56,299860,49.64,51.18,49.64
02/27/2023,49.71,495547,49.96,50.20,49.27
02/24/2023,49.30,454357,49.532,49.86,48.7101
02/23/2023,50.75,844107,51.91,51.91,49.30
02/22/2023,51.05,463279,50.662,51.72,49.98
02/21/2023,50.35,509708,51.73,52.75,50.35
02/17/2023,53.08,888810,53.35,53.59,52.09
02/16/2023,53.50,1099871,53.99,55.75,53.28
02/15/2023,55.04,1096892,51.79,55.04,51.79
02/14/2023,51.33,782372,49.03,51.50,48.68
02/13/2023,49.65,527879,49.22,50.06,48.35
02/10/2023,48.89,532892,49.86,50.32,48.48
02/09/2023,50.44,743713,53.34,53.37,50.22
02/08/2023,52.27,730731,53.44,54.25,52.27
02/07/2023,53.55,857115,52.59,53.80,51.48
02/06/2023,52.64,518529,52.77,53.58,52.28
02/03/2023,53.69,713374,53.24,56.215,52.95
02/02/2023,55.76,903401,54.29,56.7727,54.1315
02/01/2023,52.22,885942,49.69,52.52,49.20
01/31/2023,49.79,588062,48.30,50.00,48.25
01/30/2023,47.94,977976,49.35,50.04,47.88
01/27/2023,50.25,986908,47.66,50.70,47.4022
01/26/2023,47.76,706344,48.34,48.66,46.61
01/25/2023,46.67,445683,45.13,46.92,44.3214
01/24/2023,46.51,224667,46.60,47.76,46.23
01/23/2023,47.25,686244,45.65,47.27,45.15
01/20/2023,45.15,346974,43.32,45.20,43.06
01/19/2023,42.85,273148,42.99,43.57,42.38
01/18/2023,43.90,666630,46.10,46.43,43.84
01/17/2023,45.39,416942,44.552,45.49,43.75
01/13/2023,43.95,417081,41.82,44.0099,41.82
01/12/2023,42.94,409609,42.23,42.96,40.66
01/11/2023,41.94,437925,41.41,41.95,40.91
01/10/2023,41.12,212547,39.71,41.12,39.68
01/09/2023,40.09,320528,39.25,40.93,39.18
01/06/2023,38.48,1162317,37.53,38.6282,36.53
01/05/2023,37.58,238030,38.32,38.32,37.27
01/04/2023,38.99,242003,38.19,39.25,37.82
01/03/2023,37.73,601344,39.28,39.71,37.19
12/30/2022,38.55,440188,37.50,38.58,37.34
12/29/2022,38.33,483027,37.02,38.4199,36.85
12/28/2022,36.46,530107,36.30,36.9699,36.02
12/27/2022,36.47,426208,37.21,37.275,36.24
12/23/2022,37.77,415982,37.80,38.10,37.0689
12/22/2022,38.03,560685,38.89,38.93,37.0202
12/21/2022,39.58,805050,39.266,39.99,38.75
12/20/2022,39.02,368069,38.97,40.10,38.68
12/19/2022,39.24,516294,40.20,40.31,39.08
12/16/2022,40.31,490170,40.60,41.08,39.8078
12/15/2022,41.00,485334,41.91,42.26,40.88
12/14/2022,43.09,626240,43.19,44.12,42.55
12/13/2022,43.54,2314773,45.89,46.70,42.83
12/12/2022,43.18,343999,42.12,43.21,41.992
12/09/2022,42.45,588960,42.50,43.40,42.21
12/08/2022,42.75,623032,41.81,43.12,41.08
12/07/2022,41.57,1340014,41.79,42.48,41.40
12/06/2022,42.17,456173,43.87,43.87,41.80
12/05/2022,43.79,540473,45.94,46.41,43.535
12/02/2022,46.24,413402,45.02,46.41,44.88
12/01/2022,46.01,590904,45.44,46.36,44.84
11/30/2022,45.23,1040325,42.53,45.28,42.24
