date,close
1997-09-22,100.0
1997-09-24,99.94
1997-09-26,98.87
1997-09-30,100.16
1997-10-02,105.8
1997-10-06,115.03
1997-10-08,112.22
1997-10-10,106.56
1997-10-14,111.44
1997-10-16,109.68
1997-10-20,107.46
1997-10-22,111.19
1997-10-24,105.33
1997-10-28,78.91
1997-10-30,85.27
1997-11-03,89.34
1997-11-05,88.85
1997-11-10,81.77
1997-11-12,71.19
1997-11-14,67.42
1997-11-18,72.18
1997-11-20,72.58
1997-11-24,74.01
1997-11-26,72.65
1997-11-28,67.94
1997-12-02,66.7
1997-12-04,74.84
1997-12-08,80.27
1997-12-10,76.88
1997-12-15,76.13
1997-12-17,81.59
1997-12-19,76.39
1997-12-23,79.47
1997-12-25,79.91
1997-12-29,83.2
1998-01-06,88.97
1998-01-09,81.26
1998-01-13,73.34
1998-01-15,70.62
1998-01-19,73.4
1998-01-21,71.7
1998-01-23,65.98
1998-01-27,62.99
1998-01-29,57.95
1998-02-02,67.39
1998-02-04,64.1
1998-02-06,70.4
1998-02-10,69.71
1998-02-12,70.63
1998-02-16,70.32
1998-02-18,71.44
1998-02-20,71.78
1998-02-24,72.6
1998-02-26,73.76
1998-03-02,75.16
1998-03-04,77.21
1998-03-06,77.85
1998-03-11,82.91
1998-03-13,80.95
1998-03-17,78.43
1998-03-19,77.4
1998-03-23,77.42
1998-03-25,79.11
1998-03-27,78.99
1998-03-31,76.35
1998-04-02,76.19
1998-04-06,74.61
1998-04-08,74.37
1998-04-10,72.69
1998-04-14,73.59
1998-04-16,75.38
1998-04-20,74.95
1998-04-22,76.67
1998-04-24,79.96
1998-04-28,74.06
1998-04-30,75.66
1998-05-06,76.18
1998-05-08,73.98
1998-05-13,66.97
1998-05-15,62.01
1998-05-19,57.03
1998-05-21,56.17
1998-05-25,51.24
1998-05-27,43.8
1998-05-29,46.01
1998-06-02,42.97
1998-06-04,51.58
1998-06-08,49.78
1998-06-10,43.25
1998-06-15,38.54
1998-06-17,41.35
1998-06-19,40.93
1998-06-23,42.11
1998-06-25,43.04
1998-06-29,36.77
1998-07-01,35.82
1998-07-03,35.3
1998-07-07,32.02
1998-07-09,32.53
1998-07-13,37.55
1998-07-15,46.09
1998-07-17,48.53
1998-07-21,47.33
1998-07-23,40.59
1998-07-27,35.72
1998-07-29,35.96
1998-07-31,37.46
1998-08-04,35.11
1998-08-06,33.26
1998-08-10,28.66
1998-08-12,24.8
1998-08-14,24.34
1998-08-18,24.2
1998-08-20,20.13
1998-08-24,21.32
1998-08-26,23.63
1998-08-28,21.32
1998-09-01,21.02
1998-09-03,26.49
1998-09-07,40.76
1998-09-09,30.05
1998-09-11,27.38
1998-09-15,25.84
1998-09-17,24.79
1998-09-21,27.74
1998-09-23,26.49
1998-09-25,26.45
1998-09-29,26.23
1998-10-01,23.39
1998-10-05,18.53
1998-10-07,20.78
1998-10-09,20.3
1998-10-13,23.46
1998-10-15,23.46
1998-10-19,23.46
1998-10-21,32.75
1998-10-23,31.59
1998-10-27,31.85
1998-10-29,31.72
1998-11-02,34.19
1998-11-04,35.83
1998-11-06,34.6
1998-11-11,35.32
1998-11-13,38.4
1998-11-17,41.75
1998-11-19,41.24
1998-11-23,46.86
1998-11-25,47.11
1998-11-27,50.4
1998-12-01,47.86
1998-12-03,46.86
1998-12-07,48.24
1998-12-09,45.23
1998-12-11,45.77
1998-12-16,48.37
1998-12-18,46.24
1998-12-22,45.59
1998-12-24,44.68
1998-12-28,46.35
