date,close
2005-03-02,1.5257
2005-03-08,1.4457
2005-03-14,1.3571
2005-03-18,1.3143
2005-03-24,1.29
2005-03-31,1.55
2005-04-06,1.5857
2005-04-12,1.6671
2005-04-18,1.6186
2005-04-22,1.6
2005-04-28,1.6443
2005-05-04,1.6571
2005-05-10,1.6543
2005-05-16,2.1214
2005-05-20,2.2757
2005-05-26,2.0914
2005-06-02,2.1257
2005-06-08,2.1229
2005-06-14,2.4286
2005-06-20,2.4557
2005-06-24,2.2529
2005-06-30,2.3443
2005-07-07,2.4186
2005-07-13,2.3614
2005-07-19,2.3414
2005-07-25,2.4229
2005-07-29,2.6514
2005-08-04,2.9486
2005-08-10,2.9814
2005-08-16,3.1771
2005-08-22,3.0643
2005-08-26,3.0271
2005-09-01,3.0643
2005-09-08,3.4414
2005-09-14,3.3814
2005-09-20,3.3114
2005-09-26,3.4243
2005-09-30,3.7129
2005-10-06,3.6686
2005-10-12,3.93
2005-10-18,3.9214
2005-10-24,3.8529
2005-10-28,3.7543
2005-11-03,3.8686
2005-11-09,4.0214
2005-11-15,3.9929
2005-11-21,4.1014
2005-11-28,3.94
2005-12-02,3.9557
2005-12-08,3.9286
2005-12-14,3.49
2005-12-20,3.5871
2005-12-27,3.8543
2006-01-03,3.7214
2006-01-09,3.5714
2006-01-13,3.6514
2006-01-20,3.3529
2006-01-26,4.1429
2006-02-01,3.8729
2006-02-07,3.7029
2006-02-13,3.6043
2006-02-17,3.5686
2006-02-24,3.7114
2006-03-02,3.83
2006-03-08,3.59
2006-03-14,3.6314
2006-03-20,3.8686
2006-03-24,4.0957
2006-03-30,4.0914
2006-04-05,4.0943
2006-04-11,4.0743
2006-04-18,4.2571
2006-04-24,4.4629
2006-04-28,4.2343
2006-05-04,4.2843
2006-05-10,4.4157
2006-05-16,4.0943
2006-05-22,4.0
2006-05-26,4.1186
2006-06-02,3.9929
2006-06-08,3.9686
2006-06-14,3.9986
2006-06-20,3.8686
2006-06-26,3.9571
2006-06-30,3.8871
2006-07-07,3.8071
2006-07-13,3.5571
2006-07-19,3.3843
2006-07-25,2.6829
2006-07-31,2.9557
2006-08-04,2.9943
2006-08-10,2.8786
2006-08-16,2.8243
2006-08-22,2.6771
2006-08-28,2.75
2006-09-01,2.86
2006-09-08,2.8914
2006-09-14,3.2114
2006-09-20,3.21
2006-09-26,3.2829
2006-10-02,3.2586
2006-10-06,3.4443
2006-10-12,3.3443
2006-10-18,3.1986
2006-10-24,3.91
2006-10-30,3.9871
2006-11-03,3.8143
2006-11-09,4.1314
2006-11-15,4.25
2006-11-21,4.1814
2006-11-28,4.12
2006-12-04,4.1329
2006-12-08,3.95
2006-12-14,3.9657
2006-12-20,3.9086
2006-12-27,3.7843
2007-01-04,3.6214
2007-01-10,3.4386
2007-01-17,3.2614
2007-01-23,3.1086
2007-01-29,3.2214
2007-02-02,3.2629
2007-02-08,3.3929
2007-02-14,3.2286
2007-02-21,3.3414
2007-02-27,3.1571
2007-03-05,3.0086
2007-03-09,3.0086
2007-03-15,3.0229
2007-03-21,3.2929
2007-03-27,3.3686
2007-04-02,3.3543
2007-04-09,3.4771
2007-04-13,3.5143
2007-04-19,3.0729
2007-04-25,3.08
2007-05-01,3.1643
2007-05-07,3.1743
2007-05-11,3.1514
2007-05-17,3.1171
2007-05-23,3.3129
2007-05-30,3.1514
2007-06-05,3.0557
2007-06-11,3.1329
2007-06-15,2.8157
2007-06-21,2.8557
2007-06-27,2.9686
2007-07-03,2.8243
2007-07-10,2.8743
2007-07-16,2.8657
2007-07-20,2.8043
2007-07-26,2.5486
2007-08-01,2.4514
2007-08-07,2.4786
2007-08-13,2.48
2007-08-17,2.4629
2007-08-23,2.4643
2007-08-29,2.5
2007-09-05,2.56
2007-09-11,2.5243
