date,close
1914-03-01,22.95
1914-06-01,22.95
1914-09-01,21.12
1914-12-01,21.12
1915-03-01,22.08
1915-06-01,22.08
1915-09-01,32.1
1915-12-01,32.1
1916-03-01,33.26
1916-06-01,32.72
1916-09-01,49.01
1916-12-01,41.61
1917-03-01,41.25
1917-06-01,40.2
1917-09-01,51.93
1917-12-01,41.4
1918-03-01,43.75
1918-06-01,44.1
1918-09-01,40.84
1918-12-01,42.21
1919-03-01,40.9
1919-06-01,39.89
1919-09-01,56.09
1919-12-01,53.63
1920-03-01,57.58
1920-06-01,57.58
1920-09-01,25.96
1920-12-01,27.44
1921-03-01,28.98
1921-06-01,31.77
1921-09-01,28.88
1921-12-01,28.88
1922-03-01,30.3
1922-06-01,30.3
1922-09-01,23.22
1922-12-01,23.97
1923-03-01,25.96
1923-06-01,27.36
1923-09-01,22.83
1923-12-01,22.83
1924-03-01,24.08
1924-06-01,21.22
1924-09-01,24.45
1924-12-01,24.45
1925-03-01,25.11
1925-06-01,24.54
1925-09-01,27.96
1925-12-01,27.96
1926-03-01,29.19
1926-06-01,29.97
1926-09-01,27.25
1926-12-01,27.25
1927-03-01,28.3
1927-06-01,29
1927-09-01,24.82
1927-12-01,25.82
1928-03-01,26.13
1928-06-01,27.54
1928-09-01,25.65
1928-12-01,25.65
1929-03-01,25.96
1929-06-01,26.69
1929-09-01,21.32
1929-12-01,21.32
1930-03-01,21.15
1930-06-01,21.51
1930-09-01,15.1
1930-12-01,16.82
1931-03-01,16.66
1931-06-01,17.89
1931-09-01,15
1931-12-01,16.28
1932-03-01,20.47
1932-06-01,17.82
1932-09-01,30.33
1932-12-01,30.33
1933-03-01,31.28
1933-06-01,28.84
1933-09-01,34.25
1933-12-01,34.12
1934-03-01,35.71
1934-06-01,36.86
1934-09-01,32.3
1934-12-01,32.3
1935-03-01,32.21
1935-06-01,30.88
1935-09-01,33.76
1935-12-01,33.76
1936-03-01,34.58
1936-06-01,33.43
1936-09-01,35.94
1936-12-01,35.94
1937-03-01,36.9
1937-06-01,34.85
1937-09-01,40.5
1937-12-01,37.33
1938-03-01,38.25
1938-06-01,38.28
1938-09-01,33.16
1938-12-01,33.66
1939-03-01,34.98
1939-06-01,34.98
1939-09-01,44.96
1939-12-01,44.96
1940-03-01,43.57
1940-06-01,45.02
1940-09-01,35.74
1940-12-01,37.42
1941-03-01,37.23
1941-06-01,35.67
1941-09-01,42.44
1941-12-01,42.44
1942-03-01,42.31
